nyr,nstock,zeta,nday,value,pvalue,nsims
4,2,0.03143473067309657,1012,0.0012610106050240089,0.08314076306704166,1000000
4,2,0.04445542244743871,1012,0.0013034270443134921,0.06688809021848752,1000000
4,2,0.06286946134619315,1012,0.0014060104600888957,0.03836572844413577,1000000
4,2,0.08891084489487742,1012,0.0019063280036859243,0.001394770023432912,1000000
4,4,0.022227711223719356,1012,0.002152075876174913,1.8976692049998967e-4,1000000
4,4,0.03143473067309657,1012,0.002196261466317655,1.2922161571637947e-4,1000000
4,4,0.04445542244743871,1012,0.0022369823966277005,9.006010248890917e-5,1000000
4,4,0.06286946134619315,1012,0.0027457308228535362,5.658548034581656e-7,1000000
4,4,0.08891084489487742,1012,0.0043900458324339356,0,1000000
4,8,0.022227711223719356,1012,8.51387072213854e-4,0.4632150725977934,1000000
4,8,0.03143473067309657,1012,0.001319455422081588,0.061494526237321434,1000000
4,8,0.04445542244743871,1012,0.0020840048041048933,3.378174603472228e-4,1000000
4,8,0.06286946134619315,1012,0.0035758627576183135,1.5651702156560532e-11,1000000
4,8,0.08891084489487742,1012,0.0065169453682540615,0,1000000
4,16,0.022227711223719356,1012,0.002312135076837667,4.545489481111442e-5,1000000
4,16,0.03143473067309657,1012,0.003315527066602735,5.660762969483812e-10,1000000
4,16,0.04445542244743871,1012,0.004674779842056636,0,1000000
4,16,0.06286946134619315,1012,0.007130764512238179,0,1000000
4,16,0.08891084489487742,1012,0.011541316426789376,0,1000000
8,2,0.022227711223719356,2024,7.02980784767937e-4,0.7062674495950865,1000000
8,2,0.03143473067309657,2024,6.873129119492338e-4,0.7322389582721214,1000000
8,2,0.04445542244743871,2024,6.703145610510154e-4,0.7599118870755992,1000000
8,2,0.06286946134619315,2024,0.0013283165103109274,0.05867581916304787,1000000
8,2,0.08891084489487742,2024,0.002176348013266465,1.5380358846561748e-4,1000000
8,4,0.022227711223719356,2024,9.469191935030087e-4,0.33129388025443274,1000000
8,4,0.03143473067309657,2024,0.0010337184840052682,0.2355941653596838,1000000
8,4,0.04445542244743871,2024,0.0012291033751055936,0.09745556204617212,1000000
8,4,0.06286946134619315,2024,0.002206933843536012,1.1762995930741926e-4,1000000
8,4,0.08891084489487742,2024,0.003704510411299682,2.404521026733164e-12,1000000
8,8,0.022227711223719356,2024,0.0013019064789781254,0.06742009961897277,1000000
8,8,0.03143473067309657,2024,0.0016189643209250915,0.010578370173790042,1000000
8,8,0.04445542244743871,2024,0.0023397817129839618,3.514564839846024e-5,1000000
8,8,0.06286946134619315,2024,0.0035509746305427406,2.231648199568781e-11,1000000
8,8,0.08891084489487742,2024,0.006213759163219062,0,1000000
8,16,0.022227711223719356,2024,0.0018425790955663701,0.0022494978449434377,1000000
8,16,0.03143473067309657,2024,0.0024887998511079193,8.334540125498613e-6,1000000
8,16,0.04445542244743871,2024,0.0035384197166649914,2.6664670471632235e-11,1000000
8,16,0.06286946134619315,2024,0.00547831648758476,0,1000000
8,16,0.08891084489487742,2024,0.009523011425161735,0,1000000
